"Gene","ACC_HR","BLCA_HR","BRCA_HR","CESC_HR","CHOL_HR","COAD_HR","DLBC_HR","ESCA_HR","GBM_HR","HNSC_HR","KICH_HR","KIRC_HR","KIRP_HR","LAML_HR","LGG_HR","LIHC_HR","LUAD_HR","LUSC_HR","MESO_HR","OV_HR","PAAD_HR","PCPG_HR","PRAD_HR","READ_HR","SARC_HR","SKCM_HR","STAD_HR","TGCT_HR","THCA_HR","THYM_HR","UCEC_HR","UCS_HR","UVM_HR"
"A1BG",0.63,1.1,0.93,1,1.2,1.1,0.74,1.3,1,1,0.8,1.5,1.5,1.1,2,0.73,0.73,1.1,1.5,1,0.68,1.7,1.4,2,1.3,1.2,1.2,0.77,2.1,0.12,1.2,1.4,0.39
"A1CF",1,1,1,1,0.76,0.89,1,1.2,1,1,1,1,1.1,1,1,1.1,1,1,1,1,0.68,1,1,0.92,1,1,1,1.3,1,1,1,0.95,1
"A2M",1.3,1.3,0.86,0.76,1,0.97,0.34,1.5,0.95,0.83,0.84,1,0.79,1.2,1.4,0.94,0.86,1.4,1.3,1,1,0.45,0.25,1.4,0.63,0.68,1.3,3,0.86,1.5,0.88,0.86,1.9
"A2ML1",0.5,1,1.3,1,1.1,1.5,4.1,0.83,0.96,0.79,1.7,1,1,1.5,0.93,1,1.1,0.85,1,0.99,1.5,2.2,1.1,0.71,0.6,1.4,0.89,1.3,1.9,2.9,0.7,0.81,1.6
"A2MP1",0.63,0.84,1,1.2,1.3,1.4,1.2,1.2,0.87,0.7,0.38,0.93,1.4,1.6,0.88,0.94,0.85,1.2,0.82,0.84,0.89,0.83,2.1,1,0.8,0.64,1.2,0.43,0.67,0.33,0.68,0.77,1
"A3GALT2",1,1,1,0.8,1,1,1,0.87,0.79,1,1,1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"A4GALT",1.2,1.2,0.88,0.5,1,1.5,0.81,0.71,1,1.1,0.3,0.65,0.68,1.2,1.7,1.2,1.4,0.83,1.5,1.1,1.1,1,0.88,1.2,0.57,0.96,1.3,5.8e+08,2.1,0.75,0.56,1.1,4.9
"A4GNT",1,0.79,1.2,1.1,1.5,1,1,0.84,0.97,0.72,1,1,0.82,0.8,1.5,1,0.81,1,1.5,0.89,1.2,1.3,1,1,0.8,0.96,0.95,0.61,1.8,1,1,1.2,1
"AAAS",1.4,1,1,0.85,0.81,0.96,1.4,1,1.1,0.98,3.8,1.3,1.1,1.5,1.1,1.6,1.3,0.93,0.84,0.83,0.67,1.2,1.1,0.52,1,1.2,1.1,3,1.4,1,0.54,0.49,1.4
"AACS",2.5,1.3,1.2,0.83,0.68,0.86,1.5,1.3,1.5,0.85,1.9,0.88,1.2,0.92,1.4,1.5,1.6,0.95,1.2,1.2,0.85,1.1,1.3,0.49,0.95,1.5,1,0.84,1.8,1,0.96,0.87,5.8
