Diseases,Counts
Necrosis,676380
Diabetes Mellitus,591130
Hypertension,590670
Recurrence,572381
Myocardial Ischemia,538797
Hemorrhage,460969
Hypersensitivity,426030
Stroke,419581
Obesity,413187
Pneumonia,396182
Arthritis,386094
Fibrosis,374932
Coronary Disease,363050
Infarction,360639
COVID-19,347576
Heart Failure,307672
Lymphoma,300154
Overweight,299963
Tuberculosis,286205
Hepatitis,285691
Shock,283276
Myocardial Infarction,281782
Neoplasm Metastasis,272615
Overnutrition,268860
Dementia,261627
"Hypersensitivity, Immediate",260158
Thrombosis,260062
Gastroenteritis,257173
Embolism and Thrombosis,254345
"Arrhythmias, Cardiac",252533
Fever,252477
Anemia,251051
Poisoning,242511
"Trauma, Nervous System",239960
"Pneumonia, Viral",229535
Laboratory Infection,217680
Renal Insufficiency,216909
Asthma,214063
Sepsis,209911
Arteriosclerosis,201591
Carcinogenesis,199183
Sarcoma,194102
Edema,193421
"Diabetes Mellitus, type 2",188324
Sclerosis,187911
Hypoxia,184212
Respiratory Hypersensitivity,177388
Craniocerebral Trauma,177305
Protein Deficiency,176142
Ulcer,175083
Epilepsy,174999
"Heart Defects, Congenital",174678
Atherosclerosis,170360
Weight Loss,170067
Aneurysm,167669
"Arthritis, Rheumatoid",166626
"Hepatitis, Viral, Human",165940
Malnutrition,165037
Genetic Predisposition to Disease,164025
Cysts,158292
Melanoma,155670
Rupture,152944
Systemic Inflammatory Response Syndrome,152799
Insulin Resistance,150316
"Neoplasm Recurrence, Local",149441
Chronic Pain,149005
"Carcinoma, Hepatocellular",144347
Atrophy,143038
Brain Ischemia,142843
Cross Infection,142104
Liver Cirrhosis,140998
Seizures,140966
"Renal Insufficiency, Chronic",140264
Mycoses,139284
Dermatitis,138346
Hypertrophy,138327
Alzheimer Disease,135846
Fatigue,135485
Helminthiasis,134697
Diarrhea,134031
"Leukemia, Myeloid",133168
"Carcinoma, Small Cell",133160
Adenoma,132672
"Pain, Postoperative",131287
Hyperplasia,130486
Birth Weight,124496
"Lymphoma, Non-Hodgkin",123028
"Kidney Failure, Chronic",122253
Tauopathies,121523
Vasculitis,120052
Paralysis,119804
Nevi and Melanomas,118577
Fistula,117842
Intellectual Disability,115593
Glioma,115157
Cardiomyopathies,114425
Burns,113309
Infertility,113023
Osteoarthritis,110897
Surgical Wound,110555
Hepatitis B,110501
Embolism,109416
Abdominal Pain,109160
Malaria,109117
Multiple Sclerosis,106331
Hyperinsulinism,105930
Acute Pain,105409
Headache,104933
Atrial Fibrillation,104502
Lymphatic Metastasis,103425
"Hepatitis, Chronic",103214
Cardiac Conduction System Disease,103148
Osteoporosis,102926
Metabolic Syndrome,102830
Hernia,102306
Hearing Loss,102274
Weight Gain,102103
Hepatitis C,101979
Fatty Liver,101345
"Hypertension, Renal",99929
"Tuberculosis, Pulmonary",99374
Parkinson Disease,99194
Ischemic Stroke,98079
Small Cell Lung Carcinoma,98047
"Pulmonary Disease, Chronic Obstructive",96048
Venous Thrombosis,95701
Neoplasm Invasiveness,94980
Acquired Immunodeficiency Syndrome,94871
Chest Pain,94636
Colitis,94229
Alcoholism,93850
Vomiting,93721
"Lymphoma, B-Cell",93306
Lung Injury,91899
"Leukemia, Lymphoid",91573
Abscess,91178
Brain Death,90798
Dyskinesias,89836
"Leukemia, Myeloid, Acute",89598
Peptic Ulcer,89539
"Diabetes Mellitus, Type 1",89372
Thromboembolism,89268
Nephritis,88986
Iatrogenic Disease,88350
Suppuration,88157
Wound Infection,87782
Dyslipidemias,87335
Back Pain,86689
Synucleinopathies,86524
"Anemia, Hemolytic",86479
"Cell Transformation, Neoplastic",86303
Tachycardia,86275
Thrombocytopenia,85652
Body Temperature Changes,84540
Drug Hypersensitivity,84530
Hyperglycemia,84032
"Carcinoma, Bronchogenic",83923
"Carcinoma, Non-Small-Cell Lung",83734
Liver Failure,83091
Meningitis,82726
Glaucoma,82625
"Lupus Erythematosus, Systemic",82516
Ventricular Dysfunction,82172
Dyssomnias,81685
Cataract,81169
Intracranial Hemorrhages,81072
Metaplasia,80492
Avitaminosis,80259
"Hypertension, Pulmonary",78507
Acute Kidney Injury,78431
Nausea,78414
Aortic Valve Disease,77345
Respiratory Insufficiency,77169
Pancreatitis,76787
Aortic Aneurysm,76787
Encephalitis,75954
Infant Death,75695
Hypotension,74923
"Hypersensitivity, Delayed",74651
Heart Arrest,74310
"Influenza, Human",73730
Cancer Pain,73609
Neutropenia,73603
Reperfusion Injury,71740
Critical Illness,71674
Hematoma,70844
"Infertility, Female",70686
Hyperlipidemias,70541
Apnea,70373
Proteinuria,69587
Dyspnea,69203
Cerebral Hemorrhage,68445
"Death, Sudden",67935
Pulmonary Heart Disease,67397
"Ventricular Dysfunction, Left",67310
Sexual Infantilism,67298
Cough,67153
Cadaver,67000
Bone Resorption,66996
Water-Electrolyte Imbalance,66954
Ocular Hypertension,65553
Dental Caries,65484
Calculi,65260
"Diabetes Mellitus, Experimental",64991
Premature Birth,64857
Emergencies,64501
Pulmonary Embolism,64391
"Carcinoma, Renal Cell",62928
Retinal Degeneration,62711
Adenocarcinoma of Lung,62496
Prosthesis Failure,62354
Psoriasis,61819
Myosarcoma,61603
Paraproteinemias,61573
Glomerulonephritis,61083
Multiple Myeloma,60896
Gastrointestinal Hemorrhage,60813
Cardiomegaly,60652
Cystic Fibrosis,60541
Brain Infarction,60258
Intestinal Obstruction,60056
Coma,59721
Aortic Valve Stenosis,59624
Respiratory Distress Syndrome,59552
Heart Block,58895
Cerebral Infarction,58579
Pulmonary Fibrosis,58542
"Neovascularization, Pathologic",58388
Surgical Wound Infection,58222
"Colitis, Ulcerative",57906
Foreign Bodies,57841
Aneuploidy,57568
Acidosis,57455
Diabetic Angiopathies,56885
"Infertility, Male",56626
Skin Ulcer,55766
Hypoglycemia,55732
Carcinoma in Situ,55611
Femoral Fractures,55523
"Anemia, Hemolytic, Congenital",55497
Severe Acute Respiratory Syndrome,55464
Tooth Demineralization,54936
"Blood Loss, Surgical",54444
Herpes Simplex,53957
Coronary Stenosis,53940
Granuloma,53706
Fetal Weight,53478
Blindness,53242
"Lymphoma, T-Cell",53159
Hyperthyroidism,52746
Muscle Weakness,52660
"Pneumonia, Bacterial",52294
Bacteremia,52151
Angina Pectoris,52120
Confusion,51816
Glioblastoma,51617
Hemoglobinopathies,51554
Body Remains,51297
Hemolysis,51197
Ataxia,51196
Calcinosis,50739
Rhinitis,50405
Hypothyroidism,50353
Ascites,50251
Polyps,50243
Urinary Incontinence,50110
Leukopenia,49947
Hodgkin Disease,49891
Chromosome Deletion,49467
Hypothermia,49438
Erythema,49398
Astrocytoma,49211
Hypercholesterolemia,49160
Fetal Death,49081
"Brain Damage, Chronic",48703
"Osteoarthritis, Knee",47945
Crohn Disease,47617
Periodontitis,47484
"Hypertension, Pregnancy-Induced",47159
Squamous Cell Carcinoma of Head and Neck,47094
Neuroblastoma,46885
