"","LAML","ACC","CHOL","BLCA","BRCA","CESC","COAD","UCEC","ESCA","GBM","HNSC","KICH","KIRC","KIRP","DLBC","LIHC","LGG","LUAD","LUSC","SKCM","MESO","UVM","OV","PAAD","PCPG","PRAD","READ","SARC","STAD","TGCT","THYM","THCA","UCS"
"LAML",90482,43,27,196,1416,155,379,4,85,149,461,14,165,22,626,935,26,126,89,512,36,4,454,224,10,384,68,2108,203,220,52,210,8
"ACC",43,13127,30,112,826,91,164,3,65,97,464,27,252,38,61,872,37,137,76,203,39,5,346,286,794,327,68,305,173,208,76,484,12
"CHOL",27,30,29482,285,489,74,670,5,315,20,339,4,117,13,76,12103,1,158,53,171,26,6,208,7297,14,145,193,478,1024,33,7,170,1
"BLCA",196,112,285,95238,5580,3839,4221,75,1030,233,2483,55,3159,235,233,4490,34,793,605,1984,256,17,2245,1654,390,14165,3523,2452,2487,1274,59,1304,25
"BRCA",1416,826,489,5580,494250,11168,17846,487,3309,2076,12651,58,2622,138,964,18642,90,4592,1916,11987,804,125,25922,8475,161,25691,2632,9474,8093,1682,265,11919,123
"CESC",155,91,74,3839,11168,124786,2719,679,2672,262,10454,18,529,38,286,2690,28,812,945,1730,130,9,7259,1001,34,3004,2320,2146,1777,464,66,3447,203
"COAD",379,164,670,4221,17846,2719,161058,161,2867,744,4322,42,1224,75,408,17020,41,2911,819,4658,326,40,5228,5470,82,7591,27303,2467,9327,518,101,2087,29
"UCEC",4,3,5,75,487,679,161,8904,11,7,29,1,54,12,5,121,1,111,19,45,24,0,6231,47,0,128,64,413,44,72,4,72,209
"ESCA",85,65,315,1030,3309,2672,2867,11,79445,104,61099,20,459,28,174,5210,25,1050,1768,1193,183,17,843,2892,32,1171,1137,1158,12637,147,124,1127,19
"GBM",149,97,20,233,2076,262,744,7,104,52491,609,19,268,27,106,704,1083,327,150,1222,81,8,588,525,36,868,56,723,143,53,28,259,15
"HNSC",461,464,339,2483,12651,10454,4322,29,61099,609,388457,36,2339,171,1850,7947,44,2896,4794,9942,448,166,2366,3802,1300,4060,1754,12763,12047,812,384,67058,35
"KICH",14,27,4,55,58,18,42,1,20,19,36,1997,1888,1142,12,87,25,39,34,37,16,1,28,24,19,63,5,73,29,21,16,46,11
"KIRC",165,252,117,3159,2622,529,1224,54,459,268,2339,1888,64120,3893,135,3267,61,1137,931,2818,258,33,1075,1566,281,2325,229,1608,571,547,76,1386,19
"KIRP",22,38,13,235,138,38,75,12,28,27,171,1142,3893,4160,19,172,29,120,74,72,27,3,76,82,29,124,11,116,74,46,22,214,14
"DLBC",626,61,76,233,964,286,408,5,174,106,1850,12,135,19,37437,1073,14,147,98,410,59,9,298,264,18,242,182,3180,1333,436,116,440,11
"LIHC",935,872,12103,4490,18642,2690,17020,121,5210,704,7947,87,3267,172,1073,321836,48,3827,1476,6138,518,378,4773,21201,506,6764,5172,8810,13460,1335,267,4734,38
"LGG",26,37,1,34,90,28,41,1,25,1083,44,25,61,29,14,48,2981,51,36,73,22,1,30,39,15,35,2,35,28,14,15,30,11
"LUAD",126,137,158,793,4592,812,2911,111,1050,327,2896,39,1137,120,147,3827,51,63357,16340,1521,893,18,1366,1860,39,1766,728,1465,1685,220,163,1978,29
"LUSC",89,76,53,605,1916,945,819,19,1768,150,4794,34,931,74,98,1476,36,16340,32850,923,385,7,531,518,26,653,204,794,677,146,137,684,21
"SKCM",512,203,171,1984,11987,1730,4658,45,1193,1222,9942,37,2818,72,410,6138,73,1521,923,157413,528,4371,2986,2276,112,4055,1464,7087,1706,619,186,2024,29
"MESO",36,39,26,256,804,130,326,24,183,81,448,16,258,27,59,518,22,893,385,528,20709,16,934,339,23,250,60,899,273,461,141,209,15
"UVM",4,5,6,17,125,9,40,0,17,8,166,1,33,3,9,378,1,18,7,4371,16,4429,25,34,1,49,23,81,20,5,3,32,0
"OV",454,346,208,2245,25925,7261,5228,6231,843,588,2366,28,1075,76,298,4774,30,1366,531,2986,934,25,137231,3683,67,5465,1122,3369,2242,3908,105,2197,244
"PAAD",224,286,7297,1654,8475,1001,5470,47,2893,525,3803,24,1566,82,264,21202,39,1860,518,2276,339,34,3683,135276,474,3744,1451,1686,7372,403,131,2204,25
"PCPG",10,794,14,390,161,34,82,0,32,36,1300,19,281,29,18,506,15,39,26,112,23,1,67,474,17623,72,19,180,92,40,30,1278,11
"PRAD",384,327,145,14166,25692,3004,7591,128,1171,868,4060,63,2325,124,242,6765,35,1766,653,4055,250,49,5465,3744,72,206847,9513,2347,3054,2563,66,2505,20
"READ",68,68,193,3524,2632,2320,27304,64,1137,56,1754,5,229,11,182,5173,2,728,204,1464,60,23,1122,1451,19,9513,81568,1203,2586,217,19,434,8
"SARC",2108,305,478,2452,9474,2146,2467,413,1158,723,12763,73,1608,116,3180,8810,35,1465,794,7087,899,81,3369,1686,180,2347,1203,195412,2933,1565,345,2022,1117
"STAD",203,173,1024,2487,8093,1777,9327,44,12637,143,12047,29,571,74,1333,13460,28,1685,677,1706,273,20,2242,7372,92,3054,2586,2933,133971,459,91,1893,30
"TGCT",220,208,33,1274,1682,464,518,72,147,53,812,21,547,46,436,1335,14,220,146,619,461,5,3908,403,40,2563,217,1565,459,34942,59,636,17
"THYM",52,76,7,59,265,66,101,4,124,28,384,16,76,22,116,267,15,163,137,186,141,3,105,131,30,66,19,345,91,59,12298,377,15
"THCA",210,484,170,1304,11919,3447,2087,72,1127,259,67058,46,1386,214,440,4734,30,1978,684,2024,209,32,2197,2204,1278,2505,434,2022,1893,636,377,95731,18
"UCS",8,12,1,25,123,203,29,209,19,15,35,11,19,14,11,38,11,29,21,29,15,0,244,25,11,20,8,1117,30,17,15,18,1401
